id,number,name,types,H,A,B,C,D,S,total,images,ability,s_ability,nameKo,grade,prevEvolutions,nextEvolutions,note
6725,14,kakuna,"[""독"",""벌레""]",45,25,50,25,25,35,205,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png"",""https://play.pokemonshowdown.com/sprites/ani/kakuna.gif""]","[""탈피""]",[],딱충이,,"[""뿔충이""]","[""독침붕""]",
6726,15,beedrill,"[""독"",""벌레""]",65,90,40,45,80,75,395,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png"",""https://play.pokemonshowdown.com/sprites/ani/beedrill.gif""]","[""벌레의알림""]","[""스나이퍼""]",독침붕,,"[""딱충이""]","[""메가 독침붕""]",
6727,16,pidgey,"[""노말"",""비행""]",40,45,40,35,35,56,251,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png"",""https://play.pokemonshowdown.com/sprites/ani/pidgey.gif""]","[""날카로운눈"",""갈지자걸음""]","[""부풀린가슴""]",구구,,[],"[""피죤""]",
6728,17,pidgeotto,"[""노말"",""비행""]",63,60,55,50,50,71,349,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png"",""https://play.pokemonshowdown.com/sprites/ani/pidgeotto.gif""]","[""날카로운눈"",""갈지자걸음""]","[""부풀린가슴""]",피죤,,"[""구구""]","[""피죤투""]",
6729,18,pidgeot,"[""노말"",""비행""]",83,80,75,70,70,101,479,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png"",""https://play.pokemonshowdown.com/sprites/ani/pidgeot.gif""]","[""날카로운눈"",""갈지자걸음""]","[""부풀린가슴""]",피죤투,,"[""피죤""]","[""메가 피죤투""]",
6730,19,rattata,"[""노말""]",30,56,35,25,35,72,253,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png"",""https://play.pokemonshowdown.com/sprites/ani/rattata.gif""]","[""도주"",""근성""]","[""의욕""]",꼬렛,,[],"[""레트라""]",
6731,20,raticate,"[""노말""]",55,81,60,50,70,97,413,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png"",""https://play.pokemonshowdown.com/sprites/ani/raticate.gif""]","[""도주"",""근성""]","[""의욕""]",레트라,,"[""꼬렛""]",[],
6732,21,spearow,"[""노말"",""비행""]",40,60,30,31,31,70,262,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png"",""https://play.pokemonshowdown.com/sprites/ani/spearow.gif""]","[""날카로운눈""]","[""스나이퍼""]",깨비참,,[],"[""깨비드릴조""]",
6733,22,fearow,"[""노말"",""비행""]",65,90,65,61,61,100,442,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png"",""https://play.pokemonshowdown.com/sprites/ani/fearow.gif""]","[""날카로운눈""]","[""스나이퍼""]",깨비드릴조,,"[""깨비참""]",[],
6734,23,ekans,"[""독""]",35,60,44,40,54,55,288,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png"",""https://play.pokemonshowdown.com/sprites/ani/ekans.gif""]","[""위협"",""탈피""]","[""긴장감""]",아보,,[],"[""아보크""]",
6735,24,arbok,"[""독""]",60,95,69,65,79,80,448,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png"",""https://play.pokemonshowdown.com/sprites/ani/arbok.gif""]","[""위협"",""탈피""]","[""긴장감""]",아보크,,"[""아보""]",[],
6736,25,pikachu,"[""전기""]",35,55,40,50,50,90,320,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png"",""https://play.pokemonshowdown.com/sprites/ani/pikachu.gif""]","[""정전기""]","[""피뢰침""]",피카츄,,"[""피츄""]","[""라이츄""]",
6737,26,raichu,"[""전기""]",60,90,55,90,80,110,485,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png"",""https://play.pokemonshowdown.com/sprites/ani/raichu.gif""]","[""정전기""]","[""피뢰침""]",라이츄,,"[""피카츄""]","[""메가 라이츄 X"",""메가 라이츄 Y""]",
6738,27,sandshrew,"[""땅""]",50,75,85,20,30,40,300,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png"",""https://play.pokemonshowdown.com/sprites/ani/sandshrew.gif""]","[""모래숨기""]","[""모래헤치기""]",모래두지,,[],"[""고지""]",
6739,28,sandslash,"[""땅""]",75,100,110,45,55,65,450,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png"",""https://play.pokemonshowdown.com/sprites/ani/sandslash.gif""]","[""모래숨기""]","[""모래헤치기""]",고지,,"[""모래두지""]",[],
6740,29,nidoran-f,"[""독""]",55,47,52,40,40,41,275,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png"",""https://play.pokemonshowdown.com/sprites/ani/nidoran-f.gif""]","[""독가시"",""투쟁심""]","[""의욕""]",니드런♀,,[],"[""니드리나""]",
6741,30,nidorina,"[""독""]",70,62,67,55,55,56,365,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png"",""https://play.pokemonshowdown.com/sprites/ani/nidorina.gif""]","[""독가시"",""투쟁심""]","[""의욕""]",니드리나,,"[""니드런♀""]","[""니드퀸""]",
6742,31,nidoqueen,"[""독"",""땅""]",90,92,87,75,85,76,505,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png"",""https://play.pokemonshowdown.com/sprites/ani/nidoqueen.gif""]","[""독가시"",""투쟁심""]","[""우격다짐""]",니드퀸,,"[""니드리나""]",[],
6743,32,nidoran-m,"[""독""]",46,57,40,40,40,50,273,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png"",""https://play.pokemonshowdown.com/sprites/ani/nidoran-m.gif""]","[""독가시"",""투쟁심""]","[""의욕""]",니드런♂,,[],"[""니드리노""]",
6744,33,nidorino,"[""독""]",61,72,57,55,55,65,365,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png"",""https://play.pokemonshowdown.com/sprites/ani/nidorino.gif""]","[""독가시"",""투쟁심""]","[""의욕""]",니드리노,,"[""니드런♂""]","[""니드킹""]",
6745,34,nidoking,"[""독"",""땅""]",81,102,77,85,75,85,505,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png"",""https://play.pokemonshowdown.com/sprites/ani/nidoking.gif""]","[""독가시"",""투쟁심""]","[""우격다짐""]",니드킹,,"[""니드리노""]",[],
6746,35,clefairy,"[""페어리""]",70,45,48,60,65,35,323,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png"",""https://play.pokemonshowdown.com/sprites/ani/clefairy.gif""]","[""헤롱헤롱바디"",""매직가드""]","[""프렌드가드""]",삐삐,,"[""삐""]","[""픽시""]",
6747,36,clefable,"[""페어리""]",95,70,73,95,90,60,483,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png"",""https://play.pokemonshowdown.com/sprites/ani/clefable.gif""]","[""헤롱헤롱바디"",""매직가드""]","[""천진""]",픽시,,"[""삐삐""]","[""메가 픽시""]",
6748,37,vulpix,"[""불꽃""]",38,41,40,50,65,65,299,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png"",""https://play.pokemonshowdown.com/sprites/ani/vulpix.gif""]","[""타오르는불꽃""]","[""가뭄""]",식스테일,,[],"[""나인테일""]",
6749,38,ninetales,"[""불꽃""]",73,76,75,81,100,100,505,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png"",""https://play.pokemonshowdown.com/sprites/ani/ninetales.gif""]","[""타오르는불꽃""]","[""가뭄""]",나인테일,,"[""식스테일""]",[],
6750,39,jigglypuff,"[""노말"",""페어리""]",115,45,20,45,25,20,270,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png"",""https://play.pokemonshowdown.com/sprites/ani/jigglypuff.gif""]","[""헤롱헤롱바디"",""승기""]","[""프렌드가드""]",푸린,,"[""푸푸린""]","[""푸크린""]",
6751,40,wigglytuff,"[""노말"",""페어리""]",140,70,45,85,50,45,435,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png"",""https://play.pokemonshowdown.com/sprites/ani/wigglytuff.gif""]","[""헤롱헤롱바디"",""승기""]","[""통찰""]",푸크린,,"[""푸린""]",[],
6752,41,zubat,"[""독"",""비행""]",40,45,35,30,40,55,245,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png"",""https://play.pokemonshowdown.com/sprites/ani/zubat.gif""]","[""정신력""]","[""틈새포착""]",주뱃,,[],"[""골뱃""]",
6753,42,golbat,"[""독"",""비행""]",75,80,70,65,75,90,455,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png"",""https://play.pokemonshowdown.com/sprites/ani/golbat.gif""]","[""정신력""]","[""틈새포착""]",골뱃,,"[""주뱃""]","[""크로뱃""]",
6754,43,oddish,"[""독"",""풀""]",45,50,55,75,65,30,320,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png"",""https://play.pokemonshowdown.com/sprites/ani/oddish.gif""]","[""엽록소""]","[""도주""]",뚜벅쵸,,[],"[""냄새꼬""]",
6755,44,gloom,"[""독"",""풀""]",60,65,70,85,75,40,395,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png"",""https://play.pokemonshowdown.com/sprites/ani/gloom.gif""]","[""엽록소""]","[""악취""]",냄새꼬,,"[""뚜벅쵸""]","[""라플레시아"",""아르코""]",
6756,45,vileplume,"[""독"",""풀""]",75,80,85,110,90,50,490,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png"",""https://play.pokemonshowdown.com/sprites/ani/vileplume.gif""]","[""엽록소""]","[""포자""]",라플레시아,,"[""냄새꼬""]",[],
6757,46,paras,"[""벌레"",""풀""]",35,70,55,45,55,25,285,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png"",""https://play.pokemonshowdown.com/sprites/ani/paras.gif""]","[""포자"",""건조피부""]","[""습기""]",파라스,,[],"[""파라섹트""]",
6758,47,parasect,"[""벌레"",""풀""]",60,95,80,60,80,30,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png"",""https://play.pokemonshowdown.com/sprites/ani/parasect.gif""]","[""포자"",""건조피부""]","[""습기""]",파라섹트,,"[""파라스""]",[],
6759,48,venonat,"[""독"",""벌레""]",60,55,50,40,55,45,305,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png"",""https://play.pokemonshowdown.com/sprites/ani/venonat.gif""]","[""복안"",""색안경""]","[""도주""]",콘팡,,[],"[""도나리""]",
6760,49,venomoth,"[""독"",""벌레""]",70,65,60,90,75,90,450,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png"",""https://play.pokemonshowdown.com/sprites/ani/venomoth.gif""]","[""인분"",""색안경""]","[""미라클스킨""]",도나리,,"[""콘팡""]",[],
6761,50,diglett,"[""땅""]",10,55,25,35,45,95,265,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png"",""https://play.pokemonshowdown.com/sprites/ani/diglett.gif""]","[""모래숨기"",""개미지옥""]","[""모래의힘""]",디그다,,[],"[""닥트리오""]",
6762,51,dugtrio,"[""땅""]",35,100,50,50,70,120,425,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png"",""https://play.pokemonshowdown.com/sprites/ani/dugtrio.gif""]","[""모래숨기"",""개미지옥""]","[""모래의힘""]",닥트리오,,"[""디그다""]",[],
6763,52,meowth,"[""노말""]",40,45,35,40,40,90,290,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png"",""https://play.pokemonshowdown.com/sprites/ani/meowth.gif""]","[""픽업"",""테크니션""]","[""긴장감""]",나옹,,[],"[""페르시온"",""나이킹""]",
6764,53,persian,"[""노말""]",65,70,60,65,65,115,440,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png"",""https://play.pokemonshowdown.com/sprites/ani/persian.gif""]","[""유연"",""테크니션""]","[""긴장감""]",페르시온,,"[""나옹""]",[],
6765,54,psyduck,"[""물""]",50,52,48,65,50,55,320,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png"",""https://play.pokemonshowdown.com/sprites/ani/psyduck.gif""]","[""습기"",""날씨부정""]","[""쓱쓱""]",고라파덕,,[],"[""골덕""]",
6766,55,golduck,"[""물""]",80,82,78,95,80,85,500,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png"",""https://play.pokemonshowdown.com/sprites/ani/golduck.gif""]","[""습기"",""날씨부정""]","[""쓱쓱""]",골덕,,"[""고라파덕""]",[],
6767,56,mankey,"[""격투""]",40,80,35,35,45,70,305,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png"",""https://play.pokemonshowdown.com/sprites/ani/mankey.gif""]","[""의기양양"",""분노의경혈""]","[""오기""]",망키,,[],"[""성원숭""]",
6768,57,primeape,"[""격투""]",65,105,60,60,70,95,455,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png"",""https://play.pokemonshowdown.com/sprites/ani/primeape.gif""]","[""의기양양"",""분노의경혈""]","[""오기""]",성원숭,,"[""망키""]","[""저승갓숭""]",
6769,58,growlithe,"[""불꽃""]",55,70,45,70,50,60,350,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png"",""https://play.pokemonshowdown.com/sprites/ani/growlithe.gif""]","[""위협"",""타오르는불꽃""]","[""정의의마음""]",가디,,[],"[""윈디""]",
6770,59,arcanine,"[""불꽃""]",90,110,80,100,80,95,555,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png"",""https://play.pokemonshowdown.com/sprites/ani/arcanine.gif""]","[""위협"",""타오르는불꽃""]","[""정의의마음""]",윈디,,"[""가디""]",[],
6771,60,poliwag,"[""물""]",40,50,40,40,40,90,300,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png"",""https://play.pokemonshowdown.com/sprites/ani/poliwag.gif""]","[""저수"",""습기""]","[""쓱쓱""]",발챙이,,[],"[""슈륙챙이""]",
6772,61,poliwhirl,"[""물""]",65,65,65,50,50,90,385,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png"",""https://play.pokemonshowdown.com/sprites/ani/poliwhirl.gif""]","[""저수"",""습기""]","[""쓱쓱""]",슈륙챙이,,"[""발챙이""]","[""강챙이"",""왕구리""]",
6773,62,poliwrath,"[""격투"",""물""]",90,95,95,70,90,70,510,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png"",""https://play.pokemonshowdown.com/sprites/ani/poliwrath.gif""]","[""저수"",""습기""]","[""쓱쓱""]",강챙이,,"[""슈륙챙이""]",[],
6774,63,abra,"[""에스퍼""]",25,20,15,105,55,90,310,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png"",""https://play.pokemonshowdown.com/sprites/ani/abra.gif""]","[""싱크로"",""정신력""]","[""매직가드""]",캐이시,,[],"[""윤겔라""]",
6775,64,kadabra,"[""에스퍼""]",40,35,30,120,70,105,400,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png"",""https://play.pokemonshowdown.com/sprites/ani/kadabra.gif""]","[""싱크로"",""정신력""]","[""매직가드""]",윤겔라,,"[""캐이시""]","[""후딘""]",
6776,65,alakazam,"[""에스퍼""]",55,50,45,135,95,120,500,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png"",""https://play.pokemonshowdown.com/sprites/ani/alakazam.gif""]","[""싱크로"",""정신력""]","[""매직가드""]",후딘,,"[""윤겔라""]","[""메가 후딘""]",
6777,66,machop,"[""격투""]",70,80,50,35,35,35,305,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png"",""https://play.pokemonshowdown.com/sprites/ani/machop.gif""]","[""근성"",""노가드""]","[""불굴의마음""]",알통몬,,[],"[""근육몬""]",
6778,67,machoke,"[""격투""]",80,100,70,50,60,45,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png"",""https://play.pokemonshowdown.com/sprites/ani/machoke.gif""]","[""근성"",""노가드""]","[""불굴의마음""]",근육몬,,"[""알통몬""]","[""괴력몬""]",
6779,68,machamp,"[""격투""]",90,130,80,65,85,55,505,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png"",""https://play.pokemonshowdown.com/sprites/ani/machamp.gif""]","[""근성"",""노가드""]","[""불굴의마음""]",괴력몬,,"[""근육몬""]",[],
6780,69,bellsprout,"[""독"",""풀""]",50,75,35,70,30,40,300,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png"",""https://play.pokemonshowdown.com/sprites/ani/bellsprout.gif""]","[""엽록소""]","[""먹보""]",모다피,,[],"[""우츠동""]",
6781,70,weepinbell,"[""독"",""풀""]",65,90,50,85,45,55,390,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png"",""https://play.pokemonshowdown.com/sprites/ani/weepinbell.gif""]","[""엽록소""]","[""먹보""]",우츠동,,"[""모다피""]","[""우츠보트""]",
6782,71,victreebel,"[""독"",""풀""]",80,105,65,100,70,70,490,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png"",""https://play.pokemonshowdown.com/sprites/ani/victreebel.gif""]","[""엽록소""]","[""먹보""]",우츠보트,,"[""우츠동""]","[""메가 우츠보트""]",
6783,72,tentacool,"[""독"",""물""]",40,40,35,50,100,70,335,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png"",""https://play.pokemonshowdown.com/sprites/ani/tentacool.gif""]","[""클리어바디"",""해감액""]","[""젖은접시""]",왕눈해,,[],"[""독파리""]",
6784,73,tentacruel,"[""독"",""물""]",80,70,65,80,120,100,515,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png"",""https://play.pokemonshowdown.com/sprites/ani/tentacruel.gif""]","[""클리어바디"",""해감액""]","[""젖은접시""]",독파리,,"[""왕눈해""]",[],
6785,74,geodude,"[""땅"",""바위""]",40,80,100,30,30,20,300,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png"",""https://play.pokemonshowdown.com/sprites/ani/geodude.gif""]","[""돌머리"",""옹골참""]","[""모래숨기""]",꼬마돌,,[],"[""데구리""]",
6786,75,graveler,"[""땅"",""바위""]",55,95,115,45,45,35,390,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png"",""https://play.pokemonshowdown.com/sprites/ani/graveler.gif""]","[""돌머리"",""옹골참""]","[""모래숨기""]",데구리,,"[""꼬마돌""]","[""딱구리""]",
6787,76,golem,"[""땅"",""바위""]",80,120,130,55,65,45,495,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png"",""https://play.pokemonshowdown.com/sprites/ani/golem.gif""]","[""돌머리"",""옹골참""]","[""모래숨기""]",딱구리,,"[""데구리""]",[],
6788,77,ponyta,"[""불꽃""]",50,85,55,65,65,90,410,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png"",""https://play.pokemonshowdown.com/sprites/ani/ponyta.gif""]","[""도주"",""타오르는불꽃""]","[""불꽃몸""]",포니타,,[],"[""날쌩마""]",
6789,78,rapidash,"[""불꽃""]",65,100,70,80,80,105,500,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png"",""https://play.pokemonshowdown.com/sprites/ani/rapidash.gif""]","[""도주"",""타오르는불꽃""]","[""불꽃몸""]",날쌩마,,"[""포니타""]",[],
6790,79,slowpoke,"[""물"",""에스퍼""]",90,65,65,40,40,15,315,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png"",""https://play.pokemonshowdown.com/sprites/ani/slowpoke.gif""]","[""둔감"",""마이페이스""]","[""재생력""]",야돈,,[],"[""야도란"",""야도킹""]",
6791,80,slowbro,"[""물"",""에스퍼""]",95,75,110,100,80,30,490,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png"",""https://play.pokemonshowdown.com/sprites/ani/slowbro.gif""]","[""둔감"",""마이페이스""]","[""재생력""]",야도란,,"[""야돈""]","[""메가 야도란""]",
6792,81,magnemite,"[""강철"",""전기""]",25,35,70,95,55,45,325,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png"",""https://play.pokemonshowdown.com/sprites/ani/magnemite.gif""]","[""자력"",""옹골참""]","[""애널라이즈""]",코일,,[],"[""레어코일""]",
6793,82,magneton,"[""강철"",""전기""]",50,60,95,120,70,70,465,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png"",""https://play.pokemonshowdown.com/sprites/ani/magneton.gif""]","[""자력"",""옹골참""]","[""애널라이즈""]",레어코일,,"[""코일""]","[""자포코일""]",
6794,83,farfetchd,"[""노말"",""비행""]",52,90,55,58,62,60,377,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png"",""https://play.pokemonshowdown.com/sprites/ani/farfetchd.gif""]","[""날카로운눈"",""정신력""]","[""오기""]",파오리,,[],"[""창파나이트""]",
6795,84,doduo,"[""노말"",""비행""]",35,85,45,35,35,75,310,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png"",""https://play.pokemonshowdown.com/sprites/ani/doduo.gif""]","[""도주"",""일찍기상""]","[""갈지자걸음""]",두두,,[],"[""두트리오""]",
